pair cog distance kmc [A], pair cog distance kmc [A], pair nad distance [A], pair nad distance [A], Vc (QP) [eV], d-m corr [eV], total Vc [eV]
3.5239245072594247,3.5239245072594247,2.4311277218607894,2.4311277218607894,-1.1410708499788598,0.3116130161381819,-0.829457833840678
4.129864574987904,4.129864574987904,2.5093809993701677,2.5093809993701677,-1.0561437000360456,0.3111693426621148,-0.7449743573739308
5.110065926627952,5.110065926627952,2.124567014711472,2.124567014711472,-1.1097430500085466,0.3103108368742113,-0.7994322131343352
3.8227043302814,3.8227043302814,2.3386786867802085,2.3386786867802085,-1.1388705500103242,0.31140657897038293,-0.8274639710399413
3.500209732774157,3.500209732774157,2.857565047378626,2.857565047378626,-1.0935754500023904,0.3116294615566652,-0.7819459884457252
6.791940667269951,6.791940667269951,2.181983043013852,2.181983043013852,-0.9744873499694222,0.3085076739158849,-0.6659796760535373
3.6936398630362888,3.6936398630362888,2.2851579814096032,2.2851579814096032,-1.0710641500008933,0.3115016409812693,-0.759562509019624
4.63556940620076,4.63556940620076,2.1075628104519173,2.1075628104519173,-1.148537600030977,0.31074538725097045,-0.8377922127800066
5.351096490785191,5.351096490785191,2.0681051714069096,2.0681051714069096,-1.0061517999711214,0.3100761067751463,-0.6960756931959751
11.96284872982407,11.96284872982407,2.4203053526363147,2.4203053526363147,-0.69300044999909,0.30082882773959607,-0.392171622259494
3.3124629557374954,3.3124629557374954,2.5935207730033714,2.5935207730033714,-1.1729521999259305,0.31175635948571545,-0.861195840440215
3.9549310803198248,3.9549310803198248,2.6673076313016506,2.6673076313016506,-0.9967041500749474,0.31130630925255365,-0.6853978408223937
4.414859187591375,4.414859187591375,2.6168500148078766,2.6168500148078766,-0.992786599930696,0.31093542611509795,-0.681851173815598
2.9223055805714715,2.9223055805714715,2.5227354201342647,2.5227354201342647,-1.1039156999286206,0.3120012294028698,-0.7919144705257508
7.129709999651168,7.129709999651168,2.418502222450926,2.418502222450926,-0.951432899943029,0.30810106821637695,-0.6433318317266521
6.643747735470741,6.643747735470741,2.5046039607091553,2.5046039607091553,-1.030889149998984,0.3086812825350792,-0.7222078674639049
4.695332387287184,4.695332387287184,2.6490507733903534,2.6490507733903534,-1.0626643999785301,0.3106926096795347,-0.7519717902989954
28.91132475239368,28.91132475239368,21.139726062558147,21.139726062558147,-0.46250844994574436,0.26168499669568723,-0.20082345325005713
9.201369558471301,9.201369558471301,2.3001619508199775,2.3001619508199775,-0.9001206499815453,0.30533218520993033,-0.594788464771615
10.504102247913247,10.504102247913247,2.7540157951616764,2.7540157951616764,-0.883107950026897,0.30331033978772903,-0.579797610239168
11.290905215460983,11.290905215460983,2.2220535547101545,2.2220535547101545,-0.8170889499269833,0.30198367854691127,-0.5151052713800721
19.149420997147523,19.149420997147523,8.986420922703314,8.986420922703314,-0.5586257000250043,0.2862271323064717,-0.27239856771853266
5.860600780837048,5.860600780837048,1.999981999919004,1.999981999919004,-1.0431198000296718,0.30954466049379803,-0.7335751395358737
4.389095766940252,4.389095766940252,2.3622916839374364,2.3622916839374364,-1.1059162999845285,0.3109571161999501,-0.7949591837845784
3.341963698115372,3.341963698115372,2.4296826953328794,2.4296826953328794,-0.8995188500448421,0.31173680497162604,-0.5877820450732161
13.434316009831555,13.434316009831555,6.235299351274162,6.235299351274162,-0.6160874500565114,0.2981529468640536,-0.31793450319245786
14.077783302210285,14.077783302210285,6.62669223670452,6.62669223670452,-0.6372670499404194,0.2969558663971812,-0.3403111835432382
6.679949065822392,6.679949065822392,2.15138769170041,2.15138769170041,-0.9066474999890488,0.30863914895078787,-0.598008351038261
3.5791590957985444,3.5791590957985444,2.64992547065007,2.64992547065007,-1.1563692000054289,0.31157437016487854,-0.8447948298405503
4.722171099705381,4.722171099705381,2.5675700574667997,2.5675700574667997,-0.9820003499735321,0.3106687261779097,-0.6713316237956224
