pair cog distance kmc [A], x2, pair nad distance [A], x2, Vc (QP) [eV], d-m corr [eV], total Vc [eV]
3.5239245072594247,3.5239245072594247,2.4311277218607894,2.4311277218607894,-1.0550923999217048,0.22901045523835567,-0.8260819446833492
4.129864574987904,4.129864574987904,2.5093809993701677,2.5093809993701677,-0.964669200078788,0.22881649421515116,-0.7358527058636368
5.110065926627952,5.110065926627952,2.124567014711472,2.124567014711472,-1.0047683500524727,0.2284450587667557,-0.776323291285717
3.8227043302814,3.8227043302814,2.3386786867802085,2.3386786867802085,-1.0455467999454413,0.2289187601333503,-0.816628039812091
3.500209732774157,3.500209732774157,2.857565047378626,2.857565047378626,-0.9792164498612692,0.22901751897294403,-0.7501989308883252
6.791940667269951,6.791940667269951,2.181983043013852,2.181983043013852,-0.8696076000233006,0.22765717065177335,-0.6419504293715272
3.6936398630362888,3.6936398630362888,2.2851579814096032,2.2851579814096032,-1.0007421001137118,0.2289596494884396,-0.7717824506252722
4.63556940620076,4.63556940620076,2.1075628104519173,2.1075628104519173,-1.041790149953158,0.22863337895333752,-0.8131567709998206
5.351096490785191,5.351096490785191,2.0681051714069096,2.0681051714069096,-0.90915949992268,0.22834316532412272,-0.6808163345985573
11.96284872982407,11.96284872982407,2.4203053526363147,2.4203053526363147,-0.6071213500181329,0.22420642707129473,-0.3829149229468382
3.3124629557374954,3.3124629557374954,2.5935207730033714,2.5935207730033714,-1.0965213499548554,0.2290720390331631,-0.8674493109216923
3.9549310803198248,3.9549310803198248,2.6673076313016506,2.6673076313016506,-0.9363357000802353,0.22887558194727617,-0.7074601181329591
4.414859187591375,4.414859187591375,2.6168500148078766,2.6168500148078766,-0.882209400046122,0.2287155555675701,-0.653493844478552
2.9223055805714715,2.9223055805714715,2.5227354201342647,2.5227354201342647,-0.9955850499718508,0.22917902051240868,-0.7664060294594421
7.129709999651168,7.129709999651168,2.418502222450926,2.418502222450926,-0.8703552500373917,0.22747738032976925,-0.6428778697076224
6.643747735470741,6.643747735470741,2.5046039607091553,2.5046039607091553,-0.9141816498959088,0.22773380512439356,-0.6864478447715152
4.695332387287184,4.695332387287184,2.6490507733903534,2.6490507733903534,-0.9922595001589798,0.22861053137959506,-0.7636489687793847
28.91132475239368,28.91132475239368,21.139726062558147,21.139726062558147,-0.3980881499264797,0.20557812211577087,-0.1925100278107088
9.201369558471301,9.201369558471301,2.3001619508199775,2.3001619508199775,-0.8019600499937951,0.22622817983092594,-0.5757318701628692
10.504102247913247,10.504102247913247,2.7540157951616764,2.7540157951616764,-0.8094885999817052,0.22532348295069016,-0.584165117031015
11.290905215460983,11.290905215460983,2.2220535547101545,2.2220535547101545,-0.6881493000910268,0.22473352922051393,-0.4634157708705129
19.149420997147523,19.149420997147523,8.986420922703314,8.986420922703314,-0.4940534499764908,0.2173937687435949,-0.2766596812328959
5.860600780837048,5.860600780837048,1.999981999919004,1.999981999919004,-0.9075082498638949,0.2281162652928131,-0.6793919845710819
4.389095766940252,4.389095766940252,2.3622916839374364,2.3622916839374364,-1.0135692499316065,0.22872492102102843,-0.784844328910578
3.341963698115372,3.341963698115372,2.4296826953328794,2.4296826953328794,-0.8276981499366229,0.229063600149826,-0.598634549786797
13.434316009831555,13.434316009831555,6.235299351274162,6.235299351274162,-0.5595804999829852,0.22297839499536387,-0.33660210498762133
14.077783302210285,14.077783302210285,6.62669223670452,6.62669223670452,-0.572416900024109,0.22241306222894675,-0.3500038377951623
6.679949065822392,6.679949065822392,2.15138769170041,2.15138769170041,-0.8328352999415074,0.22771521159734612,-0.6051200883441613
3.5791590957985444,3.5791590957985444,2.64992547065007,2.64992547065007,-1.0586825999780558,0.22899384126155617,-0.8296887587164996
4.722171099705381,4.722171099705381,2.5675700574667997,2.5675700574667997,-0.8930931500326551,0.22860018861617107,-0.6644929614164841
