pair distance kmc [A],coulomb binding energy [eV]
0.9353250861167908,-0.6493914127349854
0.935325026512146,-0.6180431246757507
0.9353238940238953,-0.56231290102005
0.9353033900260925,-0.6633239388465881
0.9353033900260925,-0.6058521270751953
0.9353022575378418,-0.6006274223327637
0.9353052973747253,-0.604110598564148
0.9353052973747253,-0.6145600080490112
0.9353041648864746,-0.6389420032501221
0.9975886344909668,-0.5645394921302795
0.9975886344909668,-0.533054530620575
0.9975630044937134,-0.5315552949905396
0.9975411295890808,-0.5675380825996399
0.9975411295890808,-0.5735352039337158
0.9975154995918274,-0.540550947189331
0.9975448250770569,-0.6365050673484802
0.9975448250770569,-0.641002893447876
0.9975191950798035,-0.5300559997558594
1.1658086776733398,-0.49048471450805664
1.005648136138916,-0.5045682191848755
1.1390666961669922,-0.42373862862586975
0.7098172903060913,-0.6331344842910767
0.6371101140975952,-0.7346217632293701
1.1658087968826294,-0.49407321214675903
1.005648136138916,-0.6425021886825562
1.1390666961669922,-0.4251740276813507
0.7098172903060913,-0.6694428324699402
0.6371099948883057,-0.7346217632293701
1.1657975912094116,-0.4258917272090912
1.0056480169296265,-0.49407321214675903
1.1390742063522339,-0.4883316159248352
0.7098314762115479,-0.745360255241394
0.6371046304702759,-0.705053985118866
1.1658087968826294,-0.4919201135635376
1.0056480169296265,-0.5765337347984314
1.1390665769577026,-0.4251740276813507
0.70981764793396,-0.7800182104110718
0.6371101140975952,-0.7065324187278748
1.165808916091919,-0.4854608178138733
1.0056480169296265,-0.527057409286499
1.1390665769577026,-0.48976701498031616
0.70981764793396,-0.7420595288276672
0.6371099352836609,-0.703575611114502
1.1657977104187012,-0.49407321214675903
1.0056480169296265,-0.5090660452842712
1.1390740871429443,-0.42445632815361023
0.7098317742347717,-0.7717663049697876
0.6371045708656311,-0.7346217632293701
1.1657886505126953,-0.4919201135635376
1.0056225061416626,-0.5645394921302795
1.1390745639801025,-0.42445632815361023
0.7097612619400024,-0.6232321858406067
0.6371180415153503,-0.7656678557395935
1.1657886505126953,-0.42373862862586975
1.0056225061416626,-0.5420502424240112
1.1390745639801025,-0.49048471450805664
0.7097612619400024,-0.7354579567909241
0.6371179223060608,-0.7168810963630676
1.165777564048767,-0.4926378130912781
1.005622386932373,-0.5675380825996399
1.1390820741653442,-0.4251740276813507
0.709775447845459,-0.694198489189148
0.6371124982833862,-0.7006188631057739
1.1068998575210571,-0.42732712626457214
1.1906821727752686,-0.4488581120967865
1.1068998575210571,-0.49407321214675903
1.1069234609603882,-0.4258917272090912
1.1069294214248657,-0.48976701498031616
1.1069294214248657,-0.49407321214675903
1.1069529056549072,-0.4912024140357971
1.1069295406341553,-0.4919201135635376
1.1069295406341553,-0.49407321214675903
1.1069530248641968,-0.49407321214675903
0.8394724726676941,-0.682485044002533
0.8394725322723389,-0.7221584916114807
0.8394740223884583,-0.5386689305305481
0.8394725918769836,-0.7072809338569641
0.8394725918769836,-0.6924034357070923
0.839474081993103,-0.6700870990753174
0.8394588828086853,-0.5386689305305481
0.8394588828086853,-0.729597270488739
0.8394603729248047,-0.724638044834137
0.9096994400024414,-0.6424251198768616
0.9096994400024414,-0.5466387271881104
0.9097161889076233,-0.604110598564148
0.9096990823745728,-0.705121636390686
0.9096990823745728,-0.687705934047699
0.9097158312797546,-0.6789981126785278
0.9096906781196594,-0.6424251198768616
0.9096906781196594,-0.6998969316482544
0.9097074866294861,-0.6406835317611694
1.1241612434387207,-0.49048471450805664
1.1241612434387207,-0.42660942673683167
1.1241625547409058,-0.42732712626457214
1.1241610050201416,-0.4919201135635376
1.1241610050201416,-0.4926378130912781
1.1241623163223267,-0.42660942673683167
1.124198317527771,-0.4280448257923126
1.124198317527771,-0.42373862862586975
1.124199628829956,-0.49048471450805664
1.0685118436813354,-0.4912024140357971
1.068511724472046,-0.42732712626457214
1.068528652191162,-0.4230209290981293
1.0685174465179443,-0.42445632815361023
1.0685173273086548,-0.4251740276813507
1.0685343742370605,-0.4919201135635376
1.0685173273086548,-0.4230209290981293
1.0685172080993652,-0.42373862862586975
1.068534255027771,-0.42373862862586975
1.0304536819458008,-0.5735352039337158
1.0304538011550903,-0.5720359086990356
1.0304536819458008,-0.5375524163246155
1.0303924083709717,-0.5705366134643555
1.0303924083709717,-0.5105653405189514
1.0303924083709717,-0.6335064768791199
1.0303925275802612,-0.5390517115592957
1.0303926467895508,-0.641002893447876
1.0303925275802612,-0.5705366134643555
1.0290905237197876,-0.5615409016609192
1.0290905237197876,-0.5465481281280518
1.0290882587432861,-0.6350057721138
1.0290937423706055,-0.6425021886825562
1.0290937423706055,-0.5780330300331116
1.029091477394104,-0.5450488328933716
1.0290910005569458,-0.5360531210899353
1.0290910005569458,-0.540550947189331
1.0290886163711548,-0.5585423707962036
0.7536977529525757,-0.6974992752075195
0.753689169883728,-0.7057511806488037
0.7536893486976624,-0.7437098622322083
0.753709077835083,-0.745360255241394
0.7537004351615906,-0.756912887096405
0.7537006735801697,-0.7701159715652466
0.753709077835083,-0.7074015140533447
0.7537004351615906,-0.7123526930809021
0.7537006735801697,-0.7024503946304321
1.1674240827560425,-0.43019792437553406
1.1674281358718872,-0.4890493154525757
1.1674281358718872,-0.42445632815361023
1.1674240827560425,-0.48976701498031616
1.1674280166625977,-0.49335551261901855
1.1674280166625977,-0.4230209290981293
1.1674057245254517,-0.4912024140357971
1.1674097776412964,-0.4287625253200531
1.1674097776412964,-0.4919201135635376
0.9326392412185669,-0.6180431246757507
0.9326392412185669,-0.7068632245063782
0.9326394200325012,-0.5396724939346313
0.9326356053352356,-0.604110598564148
0.9326356053352356,-0.7068632245063782
0.9326357841491699,-0.6807396411895752
0.9326470494270325,-0.672031819820404
0.9326470494270325,-0.5379309058189392
0.9326472282409668,-0.5588297247886658
1.0928928852081299,-0.4251740276813507
1.0928915739059448,-0.42660942673683167
1.0928928852081299,-0.4926378130912781
1.092873454093933,-0.4926378130912781
1.092872142791748,-0.42732712626457214
1.092873454093933,-0.49048471450805664
1.0928735733032227,-0.4876139163970947
1.0928722620010376,-0.4926378130912781
