pair distance kmc [A],Vc (QP) [eV], d-m corr [eV], total Vc [eV]
8.487022341681545,-0.9147262000187766,0.2208314426361678,-0.6938947573826088
6.939879600239549,-0.9159720499665127,0.22170371552024387,-0.6942683344462688
7.351905442363462,-0.8881315500802884,0.2214853252301983,-0.6666462248500902
14.8302804705361,-0.6914234499490703,0.21601606685058836,-0.47540738309848196
7.384728863087482,-0.9258996000389743,0.22146748710554737,-0.704432112933427
6.581490494307617,-0.9124918499946943,0.22175075236485753,-0.6907410976298368
14.629512435176807,-0.528148500045063,0.21650223864342732,-0.31164626140163565
9.787144391843185,-0.8478404500383476,0.21999240267934836,-0.6278480473589992
6.515077131333235,-0.9524212501091824,0.22180217048722498,-0.7306190796219575
28.403592170686302,-0.4001446499132726,0.2009473046065591,-0.19919734530671349
6.751694352242039,-0.9406775500137883,0.22159712974753953,-0.7190804202662487
15.144071000024065,-0.526379000115412,0.21576424320507762,-0.31061475691033447
8.56791683440054,-0.898705049934506,0.220781976657276,-0.6779230732772299
13.23550321908851,-0.6524303499245434,0.21740073051913106,-0.43502961940541235
10.895951818656485,-0.6986910999257816,0.21922061246296598,-0.4794704874628156
24.353455997857186,-0.42101005000586156,0.20568125143282975,-0.2153287985730318
8.336930735635462,-0.8244871999741008,0.22092222313411353,-0.6035649768399873
7.449639941391234,-0.9505220499704592,0.22143202066734882,-0.7290900293031104
5.429163650537019,-1.035360250112717,0.22241565308366404,-0.812944597029053
6.625725529425698,-0.9793600000266451,0.22171427832507537,-0.7576457217015697
8.503441532780865,-0.8181944501266116,0.22082143294132248,-0.5973730171852891
31.17584829416875,-0.37324830013676547,0.19728828474063456,-0.1759600153961309
7.0370113484244055,-0.9885570000624284,0.22165315861845586,-0.7669038414439726
20.454475584006545,-0.4989996500698908,0.21040246235292137,-0.2885971877169694
9.166253166964083,-0.741912249908637,0.22040450143737023,-0.5215077484712668
21.187005863238266,-0.4972701499464165,0.20960370991602728,-0.2876664400303892
8.968659426667086,-0.7728749500020058,0.22053140669690247,-0.5523435433051034
17.369089728774608,-0.5051381499470153,0.2136767273353316,-0.29146142261168373
8.515537291051604,-0.8816490999888629,0.22081404903513074,-0.6608350509537322
12.284370980589607,-0.6266545499238418,0.21816611292063778,-0.40848843700320403
