pair cog distance kmc [A],pair cog distance kmc [A], pair nad distance [A],pair nad distance [A], Vc (QP) [eV], d-m corr [eV], total Vc [eV]
11.611255801181033,11.611255801181033,4.008410532867085,4.008410532867085,-0.7035935500134656,0.27517175531607996,-0.4284217946973856
11.074727228120654,11.074727228120654,2.951038291855938,2.951038291855938,-0.7164941999835719,0.2760073613332001,-0.4404868386503718
21.48603095980813,21.48603095980813,12.522786630778294,12.522786630778294,-0.5081666000478435,0.25626024396815783,-0.2519063560796857
9.129670106336379,9.129670106336379,2.149865344620445,2.149865344620445,-0.9236506000161171,0.27879248597878536,-0.6448581140373317
8.115521915666925,8.115521915666925,1.8784262029688583,1.8784262029688583,-0.9622307499739691,0.2801378694517832,-0.6820928805221859
29.545500596230177,29.545500596230177,15.466652320395644,15.466652320395644,-0.4991907499752415,0.23726220341669632,-0.26192854655854514
14.56953177759961,14.56953177759961,5.359781805260371,5.359781805260371,-0.6181325500183448,0.27017196881647243,-0.34796058120187234
17.145205050829684,17.145205050829684,4.40944497641143,4.40944497641143,-0.6531962998924428,0.2653111593120784,-0.3878851405803644
13.871735302249968,13.871735302249968,5.0623067864363955,5.0623067864363955,-0.5897075499051425,0.2714107870651467,-0.3182967628399958
20.25769429568392,20.25769429568392,8.653995204528368,8.653995204528368,-0.565077650033345,0.2589178640864348,-0.3061597859469102
12.030775468983096,12.030775468983096,2.970635790533734,2.970635790533734,-0.7005118500674143,0.2745060398135739,-0.42600581025384043
8.6140484425141,8.6140484425141,2.180468986250422,2.180468986250422,-0.8442105000067386,0.2795177714816057,-0.5646927285251329
19.0096226296356,19.0096226296356,8.558694818720895,8.558694818720895,-0.5662936500193609,0.26154561020036027,-0.30474803981900067
15.203521691283663,15.203521691283663,6.504221552192097,6.504221552192097,-0.632401349968859,0.26901637937375966,-0.36338497059509933
26.45280868336013,26.45280868336013,18.67534636894321,18.67534636894321,-0.45746905001215055,0.24483963936121902,-0.21262941065093152
8.384772725503103,8.384772725503103,2.1752887164696095,2.1752887164696095,-0.8675874000036856,0.2797679155414733,-0.5878194844622123
9.489676930825176,9.489676930825176,1.9053456379355438,1.9053456379355438,-0.8699837499698333,0.27830348887495,-0.5916802610948833
10.130825947210496,10.130825947210496,2.0782165430965085,2.0782165430965085,-0.8840574499809009,0.2774007308754728,-0.6066567191054281
8.590902060063799,8.590902060063799,2.082714334708434,2.082714334708434,-0.8766516500800208,0.2794999340757911,-0.5971517160042297
10.726606874222611,10.726606874222611,2.6933974827343983,2.6933974827343983,-0.763477350003086,0.27652641552967067,-0.48695093447341536
9.36270952630723,9.36270952630723,1.9298284897886664,1.9298284897886664,-0.899852800041117,0.27847730463587006,-0.621375495405247
9.972093150279415,9.972093150279415,2.605663255296055,2.605663255296055,-0.7943910500398488,0.2776279799652874,-0.5167630700745613
12.813674154433901,12.813674154433901,1.9556413270331492,1.9556413270331492,-0.7464027500136581,0.27322038011098193,-0.47318236990267615
8.750197435401489,8.750197435401489,2.59028762881653,2.59028762881653,-0.9285607500059996,0.27936160489719003,-0.6491991451088095
22.2769920090018,22.2769920090018,13.240438701191115,13.240438701191115,-0.5299127000580484,0.25451621348371384,-0.2753964865743345
24.711360681192705,24.711360681192705,10.81741683582546,10.81741683582546,-0.4757634499219421,0.24896049009961882,-0.22680295982232326
11.509748880338432,11.509748880338432,2.9535060521353236,2.9535060521353236,-0.807602599994425,0.27533022236535426,-0.5322723776290708
16.402477030716476,16.402477030716476,8.993931009297327,8.993931009297327,-0.6005318499592249,0.2667564281210081,-0.33377542183821685
13.419614764119762,13.419614764119762,6.344501320040844,6.344501320040844,-0.6602857999569096,0.2721929510325916,-0.388092848924318
15.725790809812564,15.725790809812564,4.938084041407144,4.938084041407144,-0.6511386499878427,0.26804414025773593,-0.3830945097301067
