pair distance kmc [A],Vc (QP) [eV], d-m corr [eV], total Vc [eV]
7.034837019515667,-0.9902326499359333,0.22165429663637065,-0.7685783532995627
12.689085122968441,-0.5994666500591848,0.21784044701914437,-0.38162620304004036
15.139309940050046,-0.6247672500066983,0.2157685395837515,-0.4089987104229468
6.9243545588741995,-0.9078786499267153,0.2217117429667028,-0.6861669069600125
5.941705823710304,-0.9625492001287057,0.22218936772720252,-0.7403598324015032
8.59044264273903,-0.9281602498049324,0.22076813549094318,-0.7073921143139892
6.62648675347876,-0.9754906500274956,0.22171363287069012,-0.7537770171568055
10.609237568513288,-0.7687414000138233,0.2194258730012382,-0.5493155270125851
17.007729616289236,-0.5351466499414528,0.21405136553458404,-0.32109528440686874
15.134420208385192,-0.563292100054241,0.2157729511040231,-0.34751914895021796
15.536188176806766,-0.5297151500999462,0.21537168431033735,-0.3143434657896088
9.634732851389751,-0.8048287499659637,0.2200948559354094,-0.5847338940305542
12.046282353522182,-0.644268199983344,0.21835764671289934,-0.4259105532704446
9.10582605810305,-0.8682385500178498,0.22044354496859064,-0.6477950050492591
11.228692470750639,-0.793798350088764,0.21897744646169828,-0.5748209036270657
13.6807369285439,-0.6249521499921684,0.21701985686845016,-0.40793229312371826
9.814719784875455,-0.7796892501683033,0.21997391070577593,-0.5597153394625274
7.43507488603877,-1.0881894000303873,0.22144000073766743,-0.8667493992927199
5.992879919589036,-0.9805567000585143,0.22216582119730474,-0.7583908788612095
18.05246282797615,-0.5320241000263195,0.212966124038162,-0.3190579759881575
19.94225494618646,-0.4158959498927288,0.21097378877620862,-0.2049221611165202
11.607893624445623,-0.6821432498727518,0.2186938972118904,-0.4634493526608614
6.188502097198471,-0.9800619999077753,0.22207423142745572,-0.7579877684803196
7.909321884131478,-0.8718354499760608,0.22117368519881037,-0.6506617647772504
8.23334014752622,-0.9276606001076289,0.2209841183551427,-0.7066764817524862
6.445364422559438,-0.943110149979475,0.2218526198696862,-0.7212575301097888
8.844900738779115,-0.8195469500824402,0.22060976523409698,-0.5989371848483431
7.194503059386719,-0.8574139000338619,0.2215699667087593,-0.6358439333251026
5.540232823311249,-0.953871950165194,0.22236809954492565,-0.7315038506202683
5.8249918574545125,-0.9625100000012026,0.2222424268423023,-0.7402675731589002
