pair cog distance kmc [A], x2, pair nad distance [A], x3, Vc (QP) [eV], d-m corr [eV], total Vc [eV]
7.034837019515667,7.034837019515667,2.2859993438319264,2.2859993438319264,-0.9902326499359333,0.22165234037259365,-0.7685803095633397
12.689085122968441,12.689085122968441,6.252694219294586,6.252694219294586,-0.5994666500591848,0.2178369445233864,-0.38162970553579834
15.139309940050046,15.139309940050046,4.3636917856329,4.3636917856329,-0.6247672500066983,0.21572181206941374,-0.40904543793728454
6.9243545588741995,6.9243545588741995,2.148962075049259,2.148962075049259,-0.9078786499267153,0.22170975659517067,-0.6861688933315446
5.941705823710304,5.941705823710304,2.2484565817466926,2.2484565817466926,-0.9625492001287057,0.22218805846007997,-0.7403611416686258
8.59044264273903,8.59044264273903,2.444458222183398,2.444458222183398,-0.9281602498049324,0.22076916299633242,-0.7073910868086
6.62648675347876,6.62648675347876,1.929500971754096,1.929500971754096,-0.9754906500274956,0.22186085853767956,-0.753629791489816
10.609237568513288,10.609237568513288,2.2785506358209346,2.2785506358209346,-0.7687414000138233,0.2194284739105721,-0.5493129261032512
17.007729616289236,17.007729616289236,6.693727810420728,6.693727810420728,-0.5351466499414528,0.2139539332316724,-0.3211927167097804
15.134420208385192,15.134420208385192,6.813538067700223,6.813538067700223,-0.563292100054241,0.21572611206774497,-0.34756598798649607
15.536188176806766,15.536188176806766,4.426871355709366,4.426871355709366,-0.5297151500999462,0.21535715073334474,-0.31435799936660147
9.634732851389751,9.634732851389751,2.3580826957509307,2.3580826957509307,-0.8048287499659637,0.22010174062044485,-0.5847270093455188
12.046282353522182,12.046282353522182,4.227966414246929,4.227966414246929,-0.644268199983344,0.2183500306148738,-0.42591816936847016
9.10582605810305,9.10582605810305,2.3090389775835214,2.3090389775835214,-0.8682385500178498,0.22044686448911185,-0.6477916855287379
11.228692470750639,11.228692470750639,2.2937031194119255,2.2937031194119255,-0.793798350088764,0.21897546293561407,-0.5748228871531499
13.6807369285439,13.6807369285439,3.5276339095773572,3.5276339095773572,-0.6249521499921684,0.2170099170825283,-0.40794223290964016
9.814719784875455,9.814719784875455,2.1777598582029265,2.1777598582029265,-0.7796892501683033,0.21998123580103762,-0.5597080143672657
7.43507488603877,7.43507488603877,2.311894677531834,2.311894677531834,-1.0881894000303873,0.22143819600057627,-0.8667512040298111
5.992879919589036,5.992879919589036,2.3676600262706473,2.3676600262706473,-0.9805567000585143,0.22216463866756636,-0.7583920613909478
18.05246282797615,18.05246282797615,6.013082487377001,6.013082487377001,-0.5320241000263195,0.21291228997543238,-0.3191118100508871
19.94225494618646,19.94225494618646,5.969033506355938,5.969033506355938,-0.4158959498927288,0.2109390174833582,-0.20495693240937063
11.607893624445623,11.607893624445623,2.0951584665604637,2.0951584665604637,-0.6821432498727518,0.2186893228707305,-0.46345392700202126
6.188502097198471,6.188502097198471,1.9839783264945299,1.9839783264945299,-0.9800619999077753,0.2220735749090361,-0.7579884249987392
7.909321884131478,7.909321884131478,2.4075238316577536,2.4075238316577536,-0.8718354499760608,0.22117236084778913,-0.6506630891282716
8.23334014752622,8.23334014752622,1.9960626242680768,1.9960626242680768,-0.9276606001076289,0.22098414383255924,-0.7066764562750696
6.445364422559438,6.445364422559438,2.3261751868679204,2.3261751868679204,-0.943110149979475,0.22195213140999756,-0.7211580185694774
8.844900738779115,8.844900738779115,2.1624143913690514,2.1624143913690514,-0.8195469500824402,0.22061186995385423,-0.598935080128586
7.194503059386719,7.194503059386719,2.697869900495559,2.697869900495559,-0.8574139000338619,0.22156806300531753,-0.6358458370285444
5.540232823311249,5.540232823311249,1.8870667714736484,1.8870667714736484,-0.953871950165194,0.22236583725866185,-0.7315061129065321
5.8249918574545125,5.8249918574545125,2.2424961538428723,2.2424961538428723,-0.9625100000012026,0.22224084516908568,-0.7402691548321169
