pair cog distance kmc [A], pair cog distance kmc [A], pair nad distance [A], pair nad distance [A], Vc (QP) [eV], d-m corr [eV], total Vc [eV]
6.221863526805438,6.221863526805438,2.013129404683166,2.013129404683166,-0.863295799921616,0.3212021586325355,-0.5420936412890804
18.481180102916575,18.481180102916575,7.008871307136394,7.008871307136394,-0.624089150049258,0.298980879783348,-0.32510827026591005
7.258825751542043,7.258825751542043,1.7980572849606307,1.7980572849606307,-0.8083179999775894,0.3200414467322291,-0.48827655324536023
19.680401376807893,19.680401376807893,9.99494212089295,9.99494212089295,-0.519516449974617,0.2961524829583719,-0.2233639670162451
8.506211466876184,8.506211466876184,2.1769196126637373,2.1769196126637373,-0.8097331500030123,0.3182721812509158,-0.4914609687520965
11.492197482031337,11.492197482031337,2.2537022873485313,2.2537022873485313,-0.7553503000635828,0.31343368655484755,-0.4419166135087353
9.19020053871209,9.19020053871209,1.948021817126285,1.948021817126285,-0.7791194000055839,0.31728638365474754,-0.46183301635083635
5.719338455152478,5.719338455152478,1.8145354777463052,1.8145354777463052,-0.8519742999815207,0.3218052990734724,-0.5301690009080484
8.13621041397661,8.13621041397661,1.9837454473798108,1.9837454473798108,-0.8419493000001239,0.31879925211145665,-0.5231500478886673
5.914585104808504,5.914585104808504,2.010966185692837,2.010966185692837,-0.922445100000914,0.3215842596281985,-0.6008608403727155
16.718706748295904,16.718706748295904,2.8515311676360837,2.8515311676360837,-0.6700693499078625,0.30297403620114555,-0.36709531370671694
15.210309248107,15.210309248107,1.9175687732125926,1.9175687732125926,-0.690846700072143,0.30622828877505187,-0.3846184112970911
9.748933258607078,9.748933258607078,1.8761313919872444,1.8761313919872444,-0.8083952999731991,0.31641122252690057,-0.4919840774462986
26.922188502268586,26.922188502268586,12.35882975851678,12.35882975851678,-0.47662025001773145,0.27746190077406674,-0.1991583492436647
12.518949050211967,12.518949050211967,3.718081629012436,3.718081629012436,-0.7173821499382029,0.3115654449105529,-0.40581670502765005
8.03373253806807,8.03373253806807,1.9483390362049389,1.9483390362049389,-0.8649718000488065,0.31894220195177325,-0.5460295980970332
7.294855710108684,7.294855710108684,1.7554375522928771,1.7554375522928771,-0.8811643500484934,0.31999306290135304,-0.5611712871471404
7.729767399244339,7.729767399244339,1.9896482101115236,1.9896482101115236,-0.8338444500186597,0.31941123712400915,-0.5144332128946505
11.821307819667378,11.821307819667378,5.0108619019087035,5.0108619019087035,-0.676755799951934,0.3128467945976551,-0.36390900535427895
9.254439038134137,9.254439038134137,2.113033127993985,2.113033127993985,-0.885017950040492,0.31718783439506787,-0.5678301156454242
6.216148528975368,6.216148528975368,2.0186629238186367,2.0186629238186367,-0.8470459499767458,0.32121005479848586,-0.5258358951782599
7.680989806517153,7.680989806517153,1.851723791498067,1.851723791498067,-0.8925366499825031,0.3194828992783032,-0.5730537507042
10.477125539557145,10.477125539557145,1.91548087957047,1.91548087957047,-0.8118550499966659,0.31521397155376224,-0.49664107844290367
6.445522142810335,6.445522142810335,1.8684097516337235,1.8684097516337235,-0.9143069999809086,0.3207394269880507,-0.5935675729928579
7.293985654011413,7.293985654011413,2.530102369470448,2.530102369470448,-0.8388502499983588,0.3199942311970495,-0.5188560188013093
25.935866911475923,25.935866911475923,17.498842275990718,17.498842275990718,-0.5558696999796666,0.2801528890572202,-0.27571681092244643
7.587256849077128,7.587256849077128,2.17608662511399,2.17608662511399,-0.8609644499483693,0.3196408438675543,-0.541323606080815
28.27860313269966,28.27860313269966,16.330509912430788,16.330509912430788,-0.40817415003402857,0.2737014473671422,-0.13447270266688638
13.502180954519888,13.502180954519888,3.008909603161918,3.008909603161918,-0.6643823499980499,0.309677453997785,-0.3547048960002649
15.015897088959806,15.015897088959806,6.261574961621066,6.261574961621066,-0.5940623500246147,0.3066238321050268,-0.2874385179195879
